DataFile,ObjectiveValue
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W4_S.dat,37.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W1_S.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_P.dat,317.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_S.dat,359.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_M.dat,58.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_L.dat,21.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_D.dat,259.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_O.dat,253.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_T.dat,216.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W1_I.dat,263.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_Q.dat,258.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_R.dat,320.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_K.dat,25.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_Q.dat,319.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W1_H.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_F.dat,222.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_S.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_F.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_D.dat,116.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_N.dat,199.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W4_B.dat,71.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W2_F.dat,66.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_R.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_T.dat,25.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_A.dat,90.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W4_T.dat,59.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W1_C.dat,18.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_A.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_E.dat,85.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_T.dat,22.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_T.dat,356.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_R.dat,215.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_L.dat,46.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W4_R.dat,57.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_M.dat,330.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W2_J.dat,126.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_E.dat,290.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_R.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_T.dat,119.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_I.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_R.dat,320.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_K.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_A.dat,90.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_H.dat,48.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_S.dat,119.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_J.dat,214.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_S.dat,84.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W1_H.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_G.dat,292.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_E.dat,85.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W1_C.dat,22.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W4_A.dat,57.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_B.dat,255.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W2_J.dat,107.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_R.dat,51.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_O.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_P.dat,86.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W1_N.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_E.dat,110.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W2_H.dat,23.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W2_H.dat,131.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_L.dat,90.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_E.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_C.dat,250.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W2_A.dat,29.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_S.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W2_J.dat,35.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_G.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_B.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_S.dat,197.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_D.dat,216.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W1_G.dat,21.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_S.dat,359.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_A.dat,294.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_Q.dat,222.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_O.dat,46.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_M.dat,264.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_D.dat,23.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_A.dat,318.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W4_A.dat,75.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W1_S.dat,262.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W2_Q.dat,76.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W1_N.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W4_E.dat,73.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W2_C.dat,105.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W1_G.dat,259.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_L.dat,55.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_E.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_A.dat,41.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W2_I.dat,79.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_A.dat,22.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W4_D.dat,28.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_F.dat,45.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_S.dat,42.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_I.dat,287.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_I.dat,304.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_G.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_J.dat,214.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W1_A.dat,106.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W2_A.dat,29.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_B.dat,215.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_P.dat,202.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W4_T.dat,32.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_B.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W1_A.dat,91.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_A.dat,114.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_P.dat,45.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_D.dat,87.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W1_N.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W2_N.dat,64.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_O.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_I.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_O.dat,319.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_N.dat,265.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W1_G.dat,21.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_M.dat,58.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W1_I.dat,25.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W4_F.dat,140.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W2_A.dat,64.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W2_E.dat,79.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W1_C.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_J.dat,48.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_B.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_S.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_A.dat,216.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W1_B.dat,115.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W4_S.dat,37.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_F.dat,222.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W4_M.dat,73.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_O.dat,45.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W1_T.dat,256.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_I.dat,224.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W4_E.dat,143.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_S.dat,197.0
./BPPLIB/Scholl_CSP_dat/Scholl_2/N1W2B2R4.dat,17.0
