DataFile,ObjectiveValue
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_F.dat,45.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_I.dat,304.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W1_T.dat,256.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_I.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_N.dat,199.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_H.dat,201.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W1_N.dat,20.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W4_D.dat,28.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_T.dat,324.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_B.dat,215.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W1_A.dat,49.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_M.dat,198.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W1_S.dat,23.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_M.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W2_L.dat,202.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_F.dat,84.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_O.dat,352.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_K.dat,259.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_B.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W4_A.dat,35.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_K.dat,215.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_O.dat,253.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_J.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_I.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W2_H.dat,131.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_Q.dat,41.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W1_N.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_Q.dat,222.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_A.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_R.dat,51.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W1_M.dat,107.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W2_G.dat,102.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W2_N.dat,77.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_F.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_S.dat,359.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_R.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_M.dat,330.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W2_M.dat,22.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_N.dat,46.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W4_B.dat,34.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_K.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_T.dat,50.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W2_D.dat,41.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_C.dat,88.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W4_H.dat,142.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C3W4_O.dat,24.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C1W1_G.dat,60.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_C.dat,43.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_N.dat,88.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W4_S.dat,119.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W1_S.dat,101.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_L.dat,298.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_I.dat,224.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C2W4_L.dat,31.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_B.dat,88.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C3W4_Q.dat,48.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W2_C.dat,250.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_D.dat,87.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_Q.dat,319.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W1_M.dat,44.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C2W4_M.dat,288.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_I.dat,224.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W2_G.dat,134.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N2C2W2_I.dat,49.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W4_O.dat,352.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C2W1_L.dat,91.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C1W1_M.dat,107.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_F.dat,84.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N1C1W1_N.dat,26.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_M.dat,330.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_S.dat,314.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C3W4_K.dat,215.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N3C3W4_K.dat,89.0
./BPPLIB/Scholl_CSP_dat/Scholl_1/N4C1W2_E.dat,310.0
